champion,games,winrate,avg_gd15,avg_dpm,avg_csd15,avg_cspm,avg_damageshare,avg_kills,avg_deaths,avg_assists,kda,wr_short_games,wr_long_games,scaling_score,early_score,carry_score,utility_score
Maokai,4,1.0,-32.0,480.0076,-0.5,7.098700000000001,0.172752,2.75,0.75,10.75,13.5,1.0,,0.0,-32.0,0.172752,3.909090909090909
Shen,3,0.6666666666666666,-391.0,533.8304666666667,-16.666666666666668,5.726200000000001,0.14196399999999998,1.6666666666666667,2.0,9.0,5.333333333333333,,,0.0,-391.0,0.14196399999999998,5.3999999999999995
Qiyana,3,0.0,100.66666666666667,540.1736666666667,-4.0,6.7194,0.2030976666666667,3.3333333333333335,6.333333333333333,3.6666666666666665,1.105263157894737,,,0.0,100.66666666666667,0.2030976666666667,1.0999999999999999
Camille,3,0.6666666666666666,418.6666666666667,350.76713333333333,6.666666666666667,1.3795333333333335,0.12062586666666668,3.3333333333333335,5.0,8.0,2.2666666666666666,,,0.0,418.6666666666667,0.12062586666666668,2.4
Gragas,3,0.0,-382.3333333333333,624.4558666666667,-15.333333333333334,7.7473,0.22518233333333335,1.0,3.6666666666666665,4.0,1.3636363636363638,,,0.0,-382.3333333333333,0.22518233333333335,4.0
Kha'Zix,3,0.6666666666666666,1478.0,748.9881333333333,3.6666666666666665,7.9133,0.271856,7.0,2.6666666666666665,5.333333333333333,4.625,,,0.0,1478.0,0.271856,0.7619047619047619
Blitzcrank,2,0.5,-271.5,196.18905,-6.0,0.8801,0.07289425,0.0,4.0,8.5,2.125,,,0.0,-271.5,0.07289425,85.0
Nidalee,2,1.0,1454.0,717.35545,21.5,8.4876,0.21650799999999998,3.5,0.5,9.0,12.5,,,0.0,1454.0,0.21650799999999998,2.5714285714285716
Illaoi,2,1.0,-520.0,766.86825,-11.5,9.80445,0.283318,3.0,3.0,2.5,1.8333333333333333,,,0.0,-520.0,0.283318,0.8333333333333334
Lissandra,2,1.0,-220.5,353.0295,-5.5,4.9443,0.12990125,1.0,2.0,10.5,5.75,,,0.0,-220.5,0.12990125,10.5
Soraka,2,0.5,77.5,227.29115000000002,-8.0,1.0103499999999999,0.07811245,0.0,1.0,10.0,10.0,,,0.0,77.5,0.07811245,100.0
Senna,2,0.0,-1108.0,564.2617,-19.0,7.563,0.2052905,1.5,4.5,7.0,1.8888888888888888,,,0.0,-1108.0,0.2052905,4.666666666666667
