gameid,date,team_blue,team_red,result,result_diff,golddiffat15_diff,xpdiffat15_diff,csdiffat15_diff,kills_diff,assists_diff,firstblood_diff,firsttower_diff,firstmidtower_diff,firsttothreetowers_diff,firstdragon_diff,firstherald_diff,firstbaron_diff,dragons_diff,elementaldrakes_diff,elders_diff,wpm_diff,wcpm_diff,vspm_diff,form_wr_diff,side_wr_diff,h2h_diff
LOLTMNT01_365453,2026-04-15 08:04:27,BNK FEARX,Nongshim RedForce,0,0.08620689655172414,-93.19129720853859,70.57224958949098,-12.0935960591133,-0.11412151067323428,-0.6387520525451578,-0.18965517241379315,0.009031198686371145,0.054187192118226535,-0.02791461412151064,-0.07307060755336614,-0.07307060755336614,0.04926108374384236,-0.2282430213464699,-0.18308702791461418,-0.0451559934318555,0.36546280788177343,-0.10826387520525449,-0.1448754515599333,0.39999999999999997,0.1970588235294118,0.0
LOLTMNT01_365467,2026-04-15 08:53:44,BNK FEARX,Nongshim RedForce,0,0.055038759689922445,-289.16821705426355,-60.28139534883721,-12.154263565891473,-0.40310077519379917,-1.6279069767441854,-0.15503875968992242,0.037984496124030986,0.024806201550387597,-0.055038759689922445,-0.041860465116279055,-0.0984496124031008,0.018604651162790697,-0.22015503875968978,-0.17674418604651176,-0.043410852713178294,0.35457790697674474,-0.11907503875969017,-0.18128170542635758,0.39999999999999997,0.13492063492063494,-0.5
LOLTMNT01_366241,2026-04-15 10:10:22,Dplus Kia,KT Rolster,1,-0.02683363148479423,-162.96958855098393,485.1332737030412,16.338103756708406,0.44364937388193226,-1.2826475849731693,-0.02683363148479423,0.10375670840787116,-0.09570661896243293,-0.05008944543828264,-0.07423971377459748,0.09660107334525936,-0.18157423971377457,-0.48658318425760294,-0.47137745974955303,-0.015205724508050092,-0.16660626118067912,-0.10996449016100218,-0.4410914132379258,-0.4,0.26354679802955666,0.0
LOLTMNT01_366261,2026-04-15 11:04:40,KT Rolster,Dplus Kia,1,-0.004208754208754217,65.6557239057239,-469.47979797979804,-15.676767676767675,-0.770202020202019,0.5589225589225606,-0.004208754208754217,-0.06986531986531991,0.06144781144781142,0.01851851851851849,0.04377104377104374,-0.12373737373737381,0.14646464646464646,0.35269360269360295,0.33838383838383845,0.014309764309764307,0.1641875420875416,0.1161542087542089,0.4378246632996632,0.20000000000000007,0.4642857142857143,-0.5
LOLTMNT01_366284,2026-04-15 12:08:03,KT Rolster,Dplus Kia,1,0.024603174603174627,74.76984126984128,-473.9555555555555,-15.686507936507935,-0.0952380952380949,1.4650793650793688,0.024603174603174627,-0.09603174603174602,0.08730158730158732,0.046825396825396826,0.07301587301587298,-0.09126984126984128,0.17142857142857137,0.49444444444444446,0.445238095238095,0.0492063492063492,0.16474761904761825,0.12693619047619076,0.4898985714285704,0.20000000000000007,0.5025641025641026,0.0
LOLTMNT01_366570,2026-04-16 08:07:45,HANJIN BRION,Gen.G,0,-0.4850230414746543,-1633.5979262672813,-998.2488479262672,-18.11635944700461,-5.361751152073731,-12.92626728110599,-0.0841013824884792,-0.18087557603686633,-0.42396313364055305,-0.3559907834101382,-0.17741935483870963,-0.2626728110599078,-0.3490783410138249,-0.9608294930875574,-0.9642857142857144,0.003456221198156681,0.14594032258064527,-0.19099861751152014,-0.504143778801847,-0.39999999999999997,-0.3522727272727273,0.0
LOLTMNT01_365803,2026-04-16 09:01:02,Gen.G,HANJIN BRION,1,0.5021551724137931,1315.2640086206898,889.1400862068965,14.96875,5.425646551724139,13.30926724137931,0.048491379310344807,0.1422413793103448,0.3771551724137931,0.3771551724137931,0.13900862068965514,0.2209051724137931,0.3706896551724138,0.9622844827586206,0.9655172413793105,-0.0032327586206896547,-0.12788038793103507,0.17913114224137927,0.45633922413793293,0.6,0.5166240409207161,0.5
LOLTMNT01_366617,2026-04-16 10:19:53,DN SOOPers,Hanwha Life Esports,0,-0.06362672322375401,-1025.3064687168612,-556.882290562036,-19.924708377518556,-1.0954400848356318,-4.278897136797454,-0.26193001060445387,0.07211028632025451,-0.18027571580063623,-0.20466595970307527,0.10180275715800641,-0.1071049840933192,-0.19936373276776242,0.11876988335100735,0.06468716861081658,0.054082714740190885,-0.040462672322375326,-0.1639538706256629,-0.517167550371159,-0.8,-0.09999999999999998,-0.16666666666666669
LOLTMNT01_365830,2026-04-16 11:03:24,Hanwha Life Esports,DN SOOPers,1,0.09523809523809523,1422.357142857143,879.327380952381,24.089285714285715,1.7023809523809526,5.303571428571431,0.2857142857142857,-0.0357142857142857,0.20833333333333331,0.2321428571428571,-0.130952380952381,0.13690476190476186,0.22619047619047622,-0.09523809523809534,-0.04166666666666652,-0.05357142857142857,0.03529107142857191,0.177054761904762,0.5434351190476185,0.8,0.015873015873015872,0.25
LOLTMNT01_367097,2026-04-17 08:09:20,BNK FEARX,Kiwoom DRX,1,0.02489177489177491,701.422077922078,530.7056277056276,14.712121212121215,-0.562770562770563,-2.1807359307359278,0.07142857142857145,0.2564935064935065,0.045454545454545414,0.0,0.09307359307359303,0.021645021645021578,0.004329004329004349,-0.24025974025974017,-0.23917748917748893,-0.0010822510822510803,0.42349967532467536,0.06723073593073581,-0.016912878787879393,-0.4,0.021739130434782594,0.0
