gameid,date,game,teamname,side,result,gamelength,ckpm,golddiffat15,xpdiffat15,csdiffat15,firstblood,firstdragon,firstherald,firstbaron,firsttower,firstmidtower,firsttothreetowers,kills,deaths,assists,wpm,wcpm,vspm,dragons,elementaldrakes,elders
LOLTMNT03_337894,2026-01-18 11:12:18,2,T1,Blue,0,1832,1.048,90.0,457.0,-5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10,22,25,3.7336,0.9498,8.3843,0.0,0.0,0.0
LOLTMNT03_337894,2026-01-18 11:12:18,2,Kiwoom DRX,Red,1,1832,1.048,-90.0,-457.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,22,10,53,3.0786,1.3428,9.1048,5.0,4.0,1.0
LOLTMNT03_336867,2026-01-18 12:05:41,3,Kiwoom DRX,Blue,0,2102,1.2559,-536.0,-571.0,-12.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,15,29,32,3.3397,1.1703,8.5347,2.0,2.0,0.0
LOLTMNT03_336867,2026-01-18 12:05:41,3,T1,Red,1,2102,1.2559,536.0,571.0,12.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,29,15,67,3.568,1.4558,9.9334,3.0,3.0,0.0
LOLTMNT03_338494,2026-01-21 08:05:24,1,Dplus Kia,Blue,1,2306,0.7546,-843.0,-397.0,-9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,20,9,47,4.4493,1.6392,10.954,2.0,2.0,0.0
LOLTMNT03_338494,2026-01-21 08:05:24,1,Nongshim RedForce,Red,0,2306,0.7546,843.0,397.0,9.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,9,20,21,3.7467,1.9514,11.1362,3.0,3.0,0.0
LOLTMNT03_339373,2026-01-21 09:07:05,2,Dplus Kia,Blue,0,1436,1.2117,-1702.0,-1556.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8,21,17,3.8022,1.2117,9.1504,1.0,1.0,0.0
LOLTMNT03_339373,2026-01-21 09:07:05,2,Nongshim RedForce,Red,1,1436,1.2117,1702.0,1556.0,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,21,8,33,3.8858,1.9638,10.4039,2.0,2.0,0.0
LOLTMNT03_338498,2026-01-21 09:52:46,3,Dplus Kia,Blue,1,1626,1.4022,2017.0,1499.0,-32.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,30,8,60,3.1734,0.9963,7.6015,3.0,3.0,0.0
LOLTMNT03_338498,2026-01-21 09:52:46,3,Nongshim RedForce,Red,0,1626,1.4022,-2017.0,-1499.0,32.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8,30,11,2.6199,1.4391,8.3764,1.0,1.0,0.0
LOLTMNT03_338517,2026-01-21 11:14:52,1,DN SOOPers,Blue,0,1880,0.6383,-1996.0,-2221.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,18,6,3.6702,1.3085,9.3191,0.0,0.0,0.0
LOLTMNT03_338517,2026-01-21 11:14:52,1,Kiwoom DRX,Red,1,1880,0.6383,1996.0,2221.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18,2,42,3.3191,1.5319,10.3404,4.0,4.0,0.0
LOLTMNT03_338532,2026-01-21 12:06:46,2,Kiwoom DRX,Blue,0,1943,0.9573,-1470.0,-1002.0,-4.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9,22,21,3.6438,1.4205,9.8816,0.0,0.0,0.0
LOLTMNT03_338532,2026-01-21 12:06:46,2,DN SOOPers,Red,1,1943,0.9573,1470.0,1002.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,22,9,44,4.1997,1.4514,11.3639,4.0,4.0,0.0
LOLTMNT03_338544,2026-01-21 13:00:21,3,DN SOOPers,Blue,1,2003,1.1083,760.0,532.0,67.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,21,16,53,3.325,1.1682,9.4059,2.0,2.0,0.0
LOLTMNT03_338544,2026-01-21 13:00:21,3,Kiwoom DRX,Red,0,2003,1.1083,-760.0,-532.0,-67.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16,21,26,3.4149,1.4079,8.9865,2.0,2.0,0.0
LOLTMNT03_339583,2026-01-22 08:05:25,1,Hanwha Life Esports,Blue,1,2219,1.0816,2088.0,1231.0,49.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,22,18,61,4.2181,2.2713,11.9513,4.0,4.0,0.0
